model_slug,score,source,source_url,evaluated_at,notes
claude-1,1195,independent,https://www.lmsys.org/blog/2023-05-25-leaderboard/,2023-05-25,"LMSYS Chatbot Arena Elo, 2nd place overall at the time"
claude-fable-5,1505,arena,https://arena.ai/leaderboard,2026-07-10,"Text Arena (LMArena/Arena.ai) crowd-sourced Elo rating, confirmed directly on the live arena.ai/leaderboard page: 1505 +/- 8, rank #1 overall in the text arena as of the July 10, 2026 snapshot (also #1 in the 'Expert' and 'Math' subcategories). Cross-corroborated by an independent secondary write-up (quasa.io) citing the identical 1505 +/- 8 figure from 7,252 votes. Note for context (not added as a separate figure since it is the same underlying model/leaderboard, just an earlier point in time): Fable 5 briefly peaked near ~1525 Elo immediately after its June 9, 2026 launch before a June 12-13, 2026 US export-control-driven worldwide suspension of non-US access disrupted voting volume; access was restored July 1, 2026, and the July 10 snapshot value used here reflects the stabilized post-restoration rating."
gemini-2-0-pro-experimental,1380,arena,https://arxiv.org/abs/2503.19786,2025-03-08,"LMSYS Chatbot Arena Elo for gemini-2.0-pro-exp-02-05 (ranked #3, 95% CI +5/-6), per Table 5 of Google DeepMind's Gemma 3 Technical Report."
gemini-3-1-flash-lite,1432,arena,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-1-flash-lite/,2026-03-03,Artificial Analysis text arena Elo
gemma-3-27b,1338,arena,https://storage.googleapis.com/deepmind-media/gemma/Gemma3Report.pdf,2025-03-08,"LMSys Chatbot Arena Elo, preliminary result; ranked top-10 at launch"
gpt-3-5-turbo,1112,independent,https://www.lmsys.org/blog/2023-12-07-leaderboard/,,"gpt-3.5-turbo-0613 Elo, LMSYS Chatbot Arena leaderboard update, Dec 2023"
gpt-4-turbo,1251,arena,https://telnyx.com/llm-library/gpt-4-1106-preview,,"LMSYS Chatbot Arena Elo (historical), gpt-4-1106-preview"
grok-3-think,1402,self-reported,https://x.ai/news/grok-3,2025-02-17,"LMSYS Chatbot Arena Elo, #1 at launch [Corrected during full-corpus audit: xAI's own launch blog states verbatim: 'Grok 3 has leading performance across both academic benchmarks and real-world user preferences, achieving an Elo score of 1402 in the Chatbot Arena.' The existing corpus value of 1400 comes from a Musk quote relayed via rdworldonline.com ('achieve a score of 1,400'), which is a rounded/misquoted version of xAI's own precise, primary-source figure of 1402.]"
guanaco-33b,1065,arena,https://www.lmsys.org/blog/2023-06-22-leaderboard/,2023-06-22,"Chatbot Arena Elo rating for Guanaco-33B, LMSYS Leaderboard Week 8 update ('Introducing MT-Bench and Vicuna-33B') - briefly the top open model on the arena at the time."
hunyuan-turbos,1356,arena,https://arxiv.org/abs/2505.15431,,"LMSYS Chatbot Arena Elo, overall top-7 rank at evaluation time"
koala-13b,1022,arena,https://www.lmsys.org/blog/2023-05-10-leaderboard/,2023-05-10,"Chatbot Arena Elo, rank 5 at the time"
llama-2-70b-chat,1051,independent,https://ar5iv.labs.arxiv.org/html/2312.06281,2023-12-01,"Chatbot Arena Elo, historical snapshot (~late 2023) per the EQ-Bench paper's Table 3, which cites the LMSYS Chatbot Arena Leaderboard as its data source. This is a point-in-time Elo (Elo drifts as new models join the arena), distinct from any current/live snapshot."
llama-2-7b-chat,1037,arena,https://telnyx.com/llm-library/llama-2-7b-chat-hf,,"Chatbot Arena Elo (historical, 2023-era leaderboard)"
llama-3-1-405b,1229,arena,https://lmmarketcap.com/benchmarks/arena_elo,,"Current LMArena Elo (dynamic, decays as newer models are added; peaked much higher at launch)"
llama-3-1-70b,1198,arena,https://lmmarketcap.com/benchmarks/arena_elo,,"Current LMArena Elo (dynamic, decays as newer models are added)"
llama-3-1-8b,1211,arena,https://lmmarketcap.com/benchmarks/arena_elo,,"Current LMArena Elo (dynamic, decays as newer models are added); rank #119 as of fetch"
llama-3-2-1b,1111,arena,https://lmmarketcap.com/benchmarks/arena_elo,,"Current LMArena Elo (dynamic, decays as newer models are added); rank #124, lowest on the leaderboard as of fetch"
llama-3-2-3b,1166,arena,https://lmmarketcap.com/benchmarks/arena_elo,,"Current LMArena Elo (dynamic, decays as newer models are added); rank #122 as of fetch"
mimo-v2-5,1434,arena,https://arena.ai/leaderboard/text,2026-07-10,"Text Arena (Overall) Elo on arena.ai (formerly LMSYS Chatbot Arena), read directly off the live leaderboard for the 'mimo-v2.5' row specifically (MIT license, $0.10/$0.28, 1M context -- matching this model; explicitly distinct on the same leaderboard from mimo-v2.5-pro at 1466, mimo-v2-pro at 1448, and mimo-v2-omni at 1430). Rank #76 of 374 models, ±5 CI, 39,076 votes, per the Jul 10, 2026 snapshot."
mistral-large-3,1418,self-reported,https://mistral.ai/news/mistral-3/,2025-12-02,"LMArena Elo score (±11) for the non-thinking Mistral Large 3, from the launch blog's own 'LMArena ELO Score' chart (read directly from the chart image, which has labeled numeric values)."
qwen-max-0428,1186,self-reported,https://qwenlm.github.io/blog/qwen-max-0428/,2024-05-11,Chatbot Arena Elo rating; top-10 on leaderboard at launch
qwen3-5-122b-a10b,1417,independent,https://benchlm.ai/models/qwen3-5-122b-a10b,,"LMArena (Chatbot Arena) Elo, Text overall. Independently corroborated by a second aggregator citation (metatext.io, same 1417 figure) and by Arena.ai's own official X/Twitter post (x.com/arena/status/2029360146863014145) which places Qwen3.5-122b-a10b's Text Arena score at ~1420 and Code Arena score at 1384 -- close but not pixel-identical, consistent with this being a live, continuously-updating leaderboard rather than a fixed benchmark. A separate direct fetch of arena.ai/leaderboard returned a suspicious identical 1485 value for two different models (likely a scraping/rendering artifact from the JS-heavy page) and was disregarded in favor of the two independently-converging aggregator citations."
vicuna-13b-v1-5,1041,arena,https://huggingface.co/api/resolve-cache/spaces/lmarena-ai/arena-leaderboard/36556125921b70e4b87ae9b7aff2ac624b3c2220/leaderboard_table_20231220.csv?download=true&etag=%22c9eda02db9aa30464ba0334945d39e8f27b49bb6%22,,"Elo rating, Chatbot Arena Dec 2023 snapshot"
yi-lightning,1287,arena,https://arxiv.org/abs/2412.01253,,"Chatbot Arena Elo at launch, ranked 6th overall, 1st in China"
